,loss,accuracy,val_loss,val_accuracy
350,0.1106,1.0000,0.2576,0.9532
351,0.5112,0.8830,0.2527,0.9532
352,0.1079,1.0000,0.2527,0.9591
353,0.4902,0.8830,0.2530,0.9532
354,0.1193,0.9984,0.2478,0.9591
355,0.4892,0.9984,0.2478,0.9649
356,0.1078,0.8947,0.2569,0.9649
357,0.5080,1.0000,0.2863,0.9649
358,0.1173,1.0000,0.2175,0.9649
359,0.8014,0.8947,0.2175,0.9591
360,0.1173,1.0000,0.2382,0.9591
361,0.8014,0.8889,0.2335,0.9591
362,0.1136,1.0000,0.2129,0.9591
363,0.5012,0.8713,0.2129,0.9591
364,0.1096,1.0000,0.2139,0.9591
365,0.4981,0.8363,0.2139,0.9649
366,0.1110,1.0000,0.2224,0.9649
367,0.5008,0.8655,0.2195,0.9708
368,0.1074,1.0000,0.2230,0.9591
369,0.5375,0.8538,0.2605,0.9591
370,0.1073,1.0000,0.2245,0.9649
371,0.5127,0.8596,0.2263,0.9649
372,0.1154,1.0000,0.2240,0.9649
373,0.7033,0.8830,0.2326,0.9649
374,0.1154,1.0000,0.2604,0.9649
375,0.7033,0.8713,0.2396,0.9649
376,0.1217,1.0000,0.2359,0.9649
377,0.7351,0.8830,0.2386,0.9649
378,0.1217,1.0000,0.2421,0.9064
379,0.7351,0.8596,0.2429,0.9123
380,0.1134,0.9984,0.2674,0.9123
381,0.7206,0.9984,0.2582,0.9181
382,0.1134,0.9123,0.2459,0.9298
383,0.7206,0.9984,0.2488,0.9298
384,0.1144,0.9006,0.2503,0.9415
385,0.6589,1.0000,0.2746,0.9415
386,0.1144,1.0000,0.2801,0.9474
387,0.6589,0.9123,0.3844,0.9591
388,0.1108,1.0000,0.3534,0.9591
389,0.4904,1.0000,0.2574,0.9591
390,0.1077,0.9181,0.3374,0.9591
391,0.4748,1.0000,0.3425,0.9591
392,0.1069,0.9123,0.3376,0.9591
393,0.442,0.9984,0.3182,0.9591
394,0.1069,0.8538,0.3483,0.9532
395,0.4420,1.0000,0.3187,0.9532
396,0.1127,0.8538,0.4332,0.9532
397,0.4618,1.0000,0.3994,0.9532
398,0.1127,0.8538,0.3837,0.9591
399,0.4618,0.9969,0.2516,0.9591
400,0.1067,0.9969,0.2458,0.9591
401,0.4674,0.9240,0.2515,0.9591
402,0.1078,1.0000,0.2483,0.9591
403,0.4995,1.0000,0.2497,0.9591
404,0.1063,0.9298,0.2528,0.9591
405,0.6044,1.0000,0.2531,0.9591
406,0.1061,1.0000,0.2491,0.9591
407,0.5169,0.9123,0.2453,0.9591
408,0.1041,0.9968,0.2152,0.9591
409,0.5786,0.8655,0.2152,0.9591
410,0.1019,0.9984,0.1981,0.9591
411,0.5538,0.9984,0.1981,0.9591
412,0.1028,0.9123,0.3270,0.9591
413,0.5330,0.9953,0.2491,0.9591
414,0.1010,0.8655,0.2638,0.9591
415,0.5296,0.9968,0.3122,0.9591
416,0.1045,0.8070,0.2845,0.9591
417,0.4825,0.9984,0.2946,0.9591
418,0.1073,0.8246,0.3839,0.9591
419,0.5423,0.9984,0.2901,0.9591
420,0.1026,0.9984,0.2707,0.9591
421,0.3729,0.7661,0.2813,0.9591
422,0.1026,1.0000,0.2869,0.9591
423,0.3729,0.8129,0.3001,0.9591
424,0.1102,1.0000,0.2971,0.9591
425,0.4144,0.8596,0.2791,0.9591
426,0.1002,1.0000,0.2708,0.9591
427,0.3942,1.0000,0.2558,0.9591
428,0.1002,0.9357,0.2514,0.9591
429,0.3942,1.0000,0.2433,0.9591
430,0.1015,1.0000,0.2393,0.9591
431,0.3805,0.9357,0.2339,0.9591
432,0.1015,1.0000,0.2227,0.9591
433,0.3805,0.9240,0.2549,0.9591
434,0.1025,1.0000,0.2485,0.9591
435,0.3865,1.0000,0.2425,0.9591
436,0.1068,0.9532,0.2444,0.9591
437,0.5387,1.0000,0.2376,0.9591
438,0.1012,0.9123,0.2451,0.9591
439,0.5096,1.0000,0.2409,0.9591
440,0.1014,0.9123,0.2781,0.9591
441,0.5081,1.0000,0.2771,0.9591
442,0.1125,0.9123,0.2687,0.9591
443,0.3688,0.9984,0.2480,0.9591
444,0.1125,0.9123,0.2690,0.9591
445,0.3688,0.9968,0.2695,0.9591
446,0.0987,0.9357,0.2689,0.9591
447,0.3567,1.0000,0.2727,0.9591
448,0.0987,0.9064,0.2743,0.9591
449,0.3567,1.0000,0.2705,0.9649
450,0.0991,0.8947,0.5124,0.9649
451,0.3737,1.0000,0.4649,0.9649
452,0.0991,0.8830,0.4570,0.9649
453,0.3737,1.0000,0.4410,0.9649
454,0.1083,0.8947,0.3821,0.9649
455,0.5020,1.0000,0.3690,0.9649
456,0.1041,0.8947,0.3550,0.9649
457,0.3211,1.0000,0.3719,0.9649
458,0.1041,0.9123,0.3548,0.9649
459,0.3211,0.9984,0.3065,0.9649
460,0.1119,0.8596,0.2968,0.9649
461,0.4486,1.0000,0.2896,0.9649
462,0.1062,0.8947,0.2875,0.9649
463,0.6123,1.0000,0.2870,0.9649
464,0.1020,0.8772,0.2874,0.9649
465,0.6187,1.0000,0.2862,0.9649
466,0.1047,0.8889,0.2831,0.9649
467,0.7781,1.0000,0.2821,0.9649
468,0.1047,0.9064,0.2816,0.9649
469,0.7781,1.0000,0.2814,0.9649
470,0.0989,0.9064,0.2797,0.9649
471,0.6297,1.0000,0.2798,0.9649
472,0.1060,0.9123,0.2787,0.9649
473,0.4689,1.0000,0.2789,0.9649
474,0.0996,0.8947,0.2786,0.9649
475,0.3178,1.0000,0.2784,0.9649
476,0.0996,0.9064,0.2772,0.9649
477,0.3178,1.0000,0.2792,0.9649
478,0.0992,0.9181,0.2797,0.9649
479,0.3159,1.0000,0.2796,0.9649
480,0.0992,0.9123,0.2764,0.9649
481,0.3159,1.0000,0.2736,0.9649
482,0.0977,0.9181,0.2721,0.9649
483,0.3301,1.0000,0.2727,0.9649
484,0.0954,0.9123,0.2722,0.9649
485,0.3085,1.0000,0.2703,0.9649
486,0.0954,0.9006,0.2695,0.9649
487,0.3085,1.0000,0.2687,0.9649
488,0.0975,0.9064,0.2654,0.9649
489,0.3689,1.0000,0.2649,0.9649
490,0.0959,0.9006,0.2640,0.9649
491,0.3994,1.0000,0.2642,0.9649
492,0.0959,0.9006,0.2635,0.9649
493,0.3610,1.0000,0.2626,0.9649
494,0.1005,0.8947,0.2788,0.9649
495,0.3660,0.9984,0.2784,0.9649
496,0.1019,0.9123,0.2778,0.9649
497,0.3499,0.9984,0.2780,0.9649
498,0.0952,0.9984,0.2787,0.9649
499,0.3729,0.9064,0.2779,0.9649
500,0.0946,1.0000,0.2775,0.9649
